"","time","sum_flux","valtype"
"127","1990-07-16",21.4906546034036,"med"
"128","1990-08-16",20.8977904930294,"med"
"129","1990-09-16",18.1685642471704,"med"
"130","1990-10-16",15.3982400636949,"med"
"131","1990-11-16",13.3475936401546,"med"
"132","1990-12-16",12.180922219794,"med"
"133","1991-01-16",11.7808181975915,"med"
"134","1991-02-15",12.3323016626673,"med"
"135","1991-03-16",13.5468758435541,"med"
"136","1991-04-16",13.9742880026072,"med"
"137","1991-05-16",15.8095443035207,"med"
"138","1991-06-16",18.8908451486454,"med"
"139","1991-07-16",20.3787622520397,"med"
"140","1991-08-16",20.7337751065076,"med"
"141","1991-09-16",17.9852624066491,"med"
"142","1991-10-16",15.2954987127116,"med"
"143","1991-11-16",13.0280979644748,"med"
"144","1991-12-16",11.7299010050261,"med"
"145","1992-01-16",11.4868632631335,"med"
"146","1992-02-15",11.9739456083378,"med"
"147","1992-03-16",13.6473367838246,"med"
"148","1992-04-16",13.9985087810112,"med"
"149","1992-05-16",15.9928337712659,"med"
"150","1992-06-16",19.0494541504104,"med"
"151","1992-07-16",20.6450088882151,"med"
"152","1992-08-16",20.2176056205962,"med"
"153","1992-09-16",18.0138678076665,"med"
"154","1992-10-16",15.3577085348014,"med"
"155","1992-11-16",13.3087543993318,"med"
"156","1992-12-16",12.2885886473045,"med"
"157","1993-01-16",12.7823866924907,"med"
"158","1993-02-15",13.1698642355307,"med"
"159","1993-03-16",13.8974535265066,"med"
"160","1993-04-16",13.8917127371546,"med"
"161","1993-05-16",15.7530393164186,"med"
"162","1993-06-16",19.1799371936582,"med"
"163","1993-07-16",20.3309727104653,"med"
"164","1993-08-16",20.6950869382087,"med"
"165","1993-09-16",18.2252390363848,"med"
"166","1993-10-16",16.0163600821376,"med"
"167","1993-11-16",13.6802888927339,"med"
"168","1993-12-16",12.7818015037867,"med"
"169","1994-01-16",13.184265611871,"med"
"170","1994-02-15",13.8660147905802,"med"
"171","1994-03-16",13.8216110255944,"med"
"172","1994-04-16",13.9252292683954,"med"
"173","1994-05-16",16.219623731606,"med"
"174","1994-06-16",18.5727302370475,"med"
"175","1994-07-16",20.0668445081548,"med"
"176","1994-08-16",20.4708694824261,"med"
"177","1994-09-16",18.1318936880724,"med"
"178","1994-10-16",16.3198223231702,"med"
